Region,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,TS_Ratio_Numeric,Dropout_Level
Kigali,Gasabo,Remera,GS Agataramo,2017,25.89,13.44,19.67,87.64,10.11,64.12,474032,0.019607843,Medium
Kigali,Gasabo,Kimihurura,GS Mweya,2018,24.97,10.28,17.62,82.12,1.83,60.43,566152,0.019607843,Medium
Kigali,Gasabo,Rusororo,GS Nyacyina,2019,10.26,28.55,19.41,88.1,5.86,85.27,449044,0.019607843,Medium
Kigali,Gasabo,Ndera,GS Migongo,2020,10.53,20.5,15.52,88.6,9.89,91.58,184076,0.019607843,Medium
Kigali,Gasabo,Gisozi,GS Ruramira,2021,2.67,16.94,9.8,83.23,15.23,74.04,106801,0.019607843,Low
Kigali,Gasabo,Bumbogo,GS Gitega,2022,18.93,3.93,11.43,69.63,1.63,62.91,455249,0.019607843,Medium
Kigali,Gasabo,Gisozi,New Vision,2023,3.46,29.61,16.54,68.62,19.72,92.51,551070,0.019607843,Medium
Kigali,Gasabo,Kacyiru,GS Rwanyanza,2024,22.85,11.91,17.38,71.52,2.22,82.34,218874,0.019607843,Medium
Kigali,Gasabo,Jabana,GS Rwanyanza,2010,17.57,22.49,20.03,89.75,7.5,89.77,139298,0.01754386,Medium
Kigali,Gasabo,Remera,GS Akumunigo,2011,9.29,26.19,17.74,79.67,0.87,60.49,229695,0.01754386,Medium
Kigali,Gasabo,Kimironko,GS Mweya,2012,27.81,27.65,27.73,73.71,4.34,63.02,433870,0.01754386,High
Kigali,Gasabo,Kimihurura,GS Nyacyina,2013,9.54,29.88,19.71,77.03,7.89,89.48,500330,0.01754386,Medium
Kigali,Gasabo,Rutunga,GS Agataramo,2014,4.1,10.73,7.42,70.41,5.32,75.53,205787,0.01754386,Low
Kigali,Gasabo,Rusororo,Marie Merci,2015,11.45,8.54,9.99,62.14,12.06,71.19,417428,0.01754386,Low
Kigali,Gasabo,Gisozi,GS Ruramira,2016,8.86,4.86,6.86,75.42,8.36,76.67,563556,0.01754386,Low
Kigali,Gasabo,Gisozi,GS Rwamagana,2017,28.05,26.12,27.08,51.79,19.75,75.06,127712,0.01754386,High
Kigali,Gasabo,Kimironko,Marie Merci,2018,5.36,18.23,11.8,83.77,9.37,93.68,408684,0.01754386,Medium
Kigali,Gasabo,Gisozi,GS Mubuga,2019,13.03,8.93,10.98,73.03,19.93,92.52,460286,0.01754386,Medium
Kigali,Gasabo,Gikomero,GS Kinteko,2020,17.11,23.3,20.2,94.86,2.58,69.89,549613,0.01754386,Medium
Kigali,Gasabo,Kimihurura,King David,2021,28.67,18.58,23.62,72.51,0.44,84.73,136187,0.01754386,Medium
Kigali,Gasabo,Kimihurura,Marie Merci,2022,15.45,14.81,15.13,78.48,1.77,92.66,436107,0.01754386,Medium
Kigali,Gasabo,Kinyinya,ES Kigoma,2023,23.96,18.11,21.04,72.51,16.1,91.39,439853,0.01754386,Medium
Kigali,Gasabo,Kinyinya,GS Rwamagana,2024,27.19,18.9,23.05,89.71,18.08,85.47,125934,0.01754386,Medium
Kigali,Kicukiro,Nyarugunga,GS Agataramo,2010,27.4,9.64,18.52,80.53,9.84,91.86,417623,0.018867925,Medium
Kigali,Kicukiro,Kanombe,ES Kigoma,2011,8.49,14.31,11.4,86.82,10.75,73.15,529802,0.018867925,Medium
Kigali,Kicukiro,Gikondo,GS Agataramo,2012,14.34,17.96,16.15,77.45,8.23,67.2,487971,0.018867925,Medium
Kigali,Kicukiro,Nyarugunga,GS Matara,2013,26.36,15.94,21.15,89.38,6.9,68.95,157108,0.018867925,Medium
Kigali,Kicukiro,Gatenga,ES Kigoma,2014,11.08,1.92,6.5,77.08,2.57,74.24,324301,0.018867925,Low
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2015,10.57,10.33,10.45,64.34,5.54,87.51,359127,0.018867925,Medium
Kigali,Kicukiro,Kigarama,New Vision,2016,24.38,22.7,23.54,59.85,10.63,74.82,211317,0.018867925,Medium
Kigali,Kicukiro,Masaka,GS Rwamagana,2017,21.89,2.81,12.35,57.02,8.95,87.49,444982,0.018867925,Medium
Kigali,Kicukiro,Kigarama,King David,2018,16.45,8.03,12.24,66.16,4.23,60.8,347736,0.018867925,Medium
Kigali,Kicukiro,Kanombe,Mater Dei,2019,10.5,4.47,7.49,87.1,9.97,87.16,567010,0.018867925,Low
Kigali,Kicukiro,Gahanga,GS Ruramira,2020,3.52,16.58,10.05,83.31,6.75,77.27,172274,0.018867925,Medium
Kigali,Kicukiro,Kigarama,GS Gitega,2021,27.09,18.62,22.85,68.57,0.15,73.21,521240,0.018867925,Medium
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2022,7.53,11.6,9.56,83.47,17.94,63.52,438269,0.018867925,Low
Kigali,Kicukiro,Kigarama,GS Camp Kigali,2023,3.33,16.21,9.77,84.82,19.39,64.48,222177,0.018867925,Low
Kigali,Kicukiro,Gikondo,GS Agataramo,2024,26.1,24.7,25.4,60.72,11.14,86.75,334936,0.018867925,High
Kigali,Kicukiro,Niboye,GS Gahanga I,2010,6.95,29.07,18.01,72.76,12.21,89.45,335659,0.024390244,Medium
Kigali,Kicukiro,Gatenga,GS Rwamagana,2011,9.37,17.86,13.61,65.89,6.73,81.3,382272,0.024390244,Medium
Kigali,Kicukiro,Gikondo,GS Kimironko II,2012,4.9,2.84,3.87,82.81,0.05,92.39,108512,0.024390244,Low
Kigali,Kicukiro,Masaka,GS Rukomo,2013,4.38,14.72,9.55,85.01,2.49,64.27,183524,0.024390244,Low
Kigali,Kicukiro,Kanombe,New Vision,2014,22.2,28.21,25.2,56.19,16.56,89.64,143925,0.024390244,High
Kigali,Kicukiro,Gahanga,Marie Merci,2015,22.76,24.19,23.48,75.29,6.32,69.43,493293,0.024390244,Medium
Kigali,Kicukiro,Niboye,New Vision,2016,18.06,20.81,19.43,79.14,10.8,95.99,435484,0.024390244,Medium
Kigali,Kicukiro,Gahanga,King David,2017,13.72,17.75,15.74,68.67,4.58,81.27,489940,0.024390244,Medium
Kigali,Kicukiro,Kanombe,GS Akumunigo,2018,16.74,13.51,15.13,76.58,10.67,87.75,550035,0.024390244,Medium
Kigali,Kicukiro,Gatenga,GS Rutongo,2019,26.92,23.87,25.4,61.58,0.67,69.94,313942,0.024390244,High
Kigali,Kicukiro,Gatenga,GS Rutongo,2020,17.53,23.11,20.32,80.47,9.14,92.85,254782,0.024390244,Medium
Kigali,Kicukiro,Kanombe,GS Cyahafi,2021,18.51,15.57,17.04,75.66,0.24,76.36,234828,0.024390244,Medium
Kigali,Kicukiro,Gatenga,GS Matara,2022,18.35,17.4,17.88,82.88,11.67,93.07,488349,0.024390244,Medium
Kigali,Kicukiro,Kigarama,GS Cyahafi,2023,12.62,14.4,13.51,77.52,12.23,83.45,225885,0.024390244,Medium
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2024,1.53,26.29,13.91,87.43,14.14,87.87,160279,0.024390244,Medium
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2010,3,3.24,3.12,73.62,19.7,96.43,134560,0.018181818,Low
Kigali,Kicukiro,Nyarugunga,GS Kinteko,2011,25.33,4.62,14.97,94.77,7.59,80.75,481863,0.018181818,Medium
Kigali,Kicukiro,Gahanga,GS Gahanga I,2012,22.58,6.96,14.77,84.79,17.27,64.57,425875,0.018181818,Medium
Kigali,Kicukiro,Kigarama,GS Kimironko II,2013,27.77,14.51,21.14,84.98,4.96,83.48,141914,0.018181818,Medium
Kigali,Kicukiro,Gahanga,GS Camp Kigali,2014,17.75,5.8,11.78,58.63,13.27,91.22,366901,0.018181818,Medium
Kigali,Kicukiro,Gikondo,GS Rwanyanza,2015,6.16,28.87,17.52,64.08,10.04,63.41,306524,0.018181818,Medium
Kigali,Kicukiro,Kanombe,New Vision,2016,18.27,2.95,10.61,74,0.73,95.92,364223,0.018181818,Medium
Kigali,Kicukiro,Niboye,GS Mweya,2017,14.69,17.38,16.04,71.03,8.82,78.13,522081,0.018181818,Medium
Kigali,Kicukiro,Kanombe,GS Buye,2018,12.62,17.23,14.93,58.43,7.47,94.47,402950,0.018181818,Medium
Kigali,Kicukiro,Niboye,GS Akumunigo,2019,8.85,19.68,14.26,60.85,13.18,66.25,228177,0.018181818,Medium
Kigali,Kicukiro,Kigarama,GS Matara,2020,1.79,7.44,4.61,72.57,16,60.79,549589,0.018181818,Low
Kigali,Kicukiro,Gikondo,GS Mubuga,2021,6.18,19.93,13.05,58.44,16.14,69.73,525037,0.018181818,Medium
Kigali,Kicukiro,Niboye,Mater Dei,2022,28.92,28.39,28.65,63.69,12.66,72.96,147057,0.018181818,High
Kigali,Kicukiro,Kigarama,GS Ruheru,2023,22.34,25.6,23.97,74.98,18.21,85.72,481009,0.018181818,Medium
Kigali,Kicukiro,Kigarama,GS Ruramira,2024,19.12,10.74,14.93,79.7,6.9,61.37,478387,0.018181818,Medium
Kigali,Kicukiro,Gatenga,GS Migongo,2010,9.54,28.51,19.02,72.59,16,94.74,119063,0.02,Medium
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2011,13.33,1.65,7.49,70.26,2.79,85.34,422918,0.02,Low
Kigali,Kicukiro,Gahanga,GS Migongo,2012,25.21,29.55,27.38,67.43,18.29,70.89,444138,0.02,High
Kigali,Kicukiro,Gikondo,GS Matara,2013,4.41,17.72,11.07,70.71,2.13,86.06,228377,0.02,Medium
Kigali,Kicukiro,Kanombe,GS Ruramira,2014,5.06,8.65,6.85,74.97,9.89,70.03,277900,0.02,Low
Kigali,Kicukiro,Gikondo,GS Ruheru,2015,17.63,25.31,21.47,79.38,14.76,76.88,579361,0.02,Medium
Kigali,Kicukiro,Nyarugunga,GS Gitega,2016,3.4,18.49,10.95,65.87,14.38,71.55,451743,0.02,Medium
Kigali,Kicukiro,Masaka,GS Migongo,2017,9.62,17.43,13.52,78.49,4.3,97.47,220900,0.02,Medium
Kigali,Kicukiro,Gikondo,GS Camp Kigali,2018,1.9,8.61,5.25,66.16,12.47,79.85,276492,0.02,Low
Kigali,Kicukiro,Niboye,GS Ruramira,2019,14.75,10.99,12.87,69.11,4.93,88.2,183559,0.02,Medium
Kigali,Kicukiro,Kanombe,GS Kimironko II,2020,24.75,24.18,24.47,74.17,1.83,83.61,151474,0.02,Medium
Kigali,Kicukiro,Gikondo,GS Akumunigo,2021,27.6,4.97,16.28,84.91,15.17,67.41,232413,0.02,Medium
Kigali,Kicukiro,Niboye,GS Cyahafi,2022,19.53,23.01,21.27,84.03,12.93,99.22,286833,0.02,Medium
Kigali,Kicukiro,Gahanga,GS Cyahafi,2023,21.1,2.5,11.8,67.85,11.12,83.53,469040,0.02,Medium
Kigali,Kicukiro,Niboye,GS Ruramira,2024,14.72,10.07,12.4,71.29,8.44,67.7,304615,0.02,Medium
Kigali,Kicukiro,Gahanga,GS Gitega,2010,25.49,10.25,17.87,71.65,17.7,83.85,221826,0.020408163,Medium
Kigali,Kicukiro,Nyarugunga,GS Migongo,2011,16.38,13.79,15.08,74.42,6.38,92.16,406691,0.020408163,Medium
Kigali,Kicukiro,Niboye,GS Kinteko,2012,19.15,26.69,22.92,71.22,0.43,60.98,545609,0.020408163,Medium
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2013,26.37,16.34,21.35,93.45,8.04,99.92,116371,0.020408163,Medium
Kigali,Kicukiro,Gikondo,New Vision,2014,14.92,19.2,17.06,96.44,10.45,90.73,281144,0.020408163,Medium
Kigali,Kicukiro,Gahanga,GS Camp Kigali,2015,22.24,1.1,11.67,69.11,0.84,94.11,526129,0.020408163,Medium
Kigali,Kicukiro,Gahanga,GS Gahanga I,2016,1.52,29.64,15.58,70.3,15.73,87.19,590635,0.020408163,Medium
Kigali,Kicukiro,Gahanga,GS Migongo,2017,3.59,13.11,8.35,95.6,3.34,78.7,134636,0.020408163,Low
Kigali,Kicukiro,Gikondo,King David,2018,29.74,7.72,18.73,89.81,7.68,84.31,595084,0.020408163,Medium
Kigali,Kicukiro,Gikondo,GS Kimironko II,2019,2.07,28.76,15.41,90.67,10.37,85.19,166262,0.020408163,Medium
Kigali,Kicukiro,Masaka,GS Ruheru,2020,18.32,16.23,17.27,69.39,16.32,79.65,474999,0.020408163,Medium
Kigali,Kicukiro,Gahanga,GS Mweya,2021,7.51,7.49,7.5,78.25,7.82,83.2,341249,0.020408163,Low
Kigali,Kicukiro,Masaka,GS Migongo,2022,8.92,14.82,11.87,72.41,18.63,61.42,408686,0.020408163,Medium
Kigali,Kicukiro,Nyarugunga,New Vision,2023,22.32,9.16,15.74,56.44,1.62,87.83,432975,0.020408163,Medium
Kigali,Kicukiro,Nyarugunga,Marie Merci,2024,7.39,20.81,14.1,73.18,16.49,79.81,477149,0.020408163,Medium
Kigali,Nyarugenge,Kigali,GS Rwamagana,2010,26.07,22.28,24.18,84.74,6.68,69.81,590042,0.017857143,Medium
Kigali,Nyarugenge,Kanyinya,GS Mubuga,2011,7.92,27.97,17.95,70.12,0.58,67.57,294692,0.017857143,Medium
Kigali,Nyarugenge,Nyakabanda,GS Cyahafi,2012,24.95,4.74,14.84,76.97,16.64,66.43,512003,0.017857143,Medium
Kigali,Nyarugenge,Nyakabanda,GS Cyahafi,2013,15.72,1.19,8.45,72.6,5.2,99.25,528048,0.017857143,Low
Kigali,Nyarugenge,Kigali,GS Mweya,2014,19.39,16.66,18.02,72.17,19.26,90.44,129257,0.017857143,Medium
Kigali,Nyarugenge,Mageragere,GS Gitega,2015,10.91,19.35,15.13,75.86,1.36,97.49,183807,0.017857143,Medium
Kigali,Nyarugenge,Mageragere,GS Ruheru,2016,9.73,21.54,15.63,66.24,0.91,73.84,383097,0.017857143,Medium
Kigali,Nyarugenge,Nyamirambo,GS Rukomo,2017,26.27,29.23,27.75,92.96,1.31,65.2,462876,0.017857143,High
Kigali,Nyarugenge,Nyamirambo,GS Agataramo,2018,24.82,11.78,18.3,76.78,19.94,60.04,111745,0.017857143,Medium
Kigali,Nyarugenge,Kigali,GS Rwanyanza,2019,13.36,14.09,13.72,73.96,15.46,87.75,385555,0.017857143,Medium
Kigali,Nyarugenge,Kigali,GS Agataramo,2020,7.67,4.81,6.24,95.78,18.19,61.25,395900,0.017857143,Low
Kigali,Nyarugenge,Nyarugenge,Marie Merci,2021,25.86,28.97,27.42,80.06,4.6,72.48,375001,0.017857143,High
Kigali,Nyarugenge,Kanyinya,GS Mweya,2022,7.18,1.9,4.54,75.5,3.18,94.57,380783,0.017857143,Low
Kigali,Nyarugenge,Kigali,GS Migongo,2023,6.91,3.64,5.28,65.18,15.94,81.21,270182,0.017857143,Low
Kigali,Nyarugenge,Kimisagara,GS Gahanga I,2024,9.53,27.44,18.49,78.82,2.5,78.48,147837,0.017857143,Medium
Kigali,Nyarugenge,Nyamirambo,GS Akumunigo,2010,7.54,5.66,6.6,74.44,0.23,83.61,182503,0.028571429,Low
Kigali,Nyarugenge,Rwezamenyo,GS Mubuga,2011,3.1,12.38,7.74,77,17.2,71.67,252876,0.028571429,Low
Kigali,Nyarugenge,Kimisagara,GS Kinteko,2012,23.62,2.15,12.88,64.64,12.36,69.68,487960,0.028571429,Medium
Kigali,Nyarugenge,Mageragere,GS Agataramo,2013,21.37,17.23,19.3,58.41,7.01,80.71,520640,0.028571429,Medium
Kigali,Nyarugenge,Muhima,GS Kimironko II,2014,1.96,3.28,2.62,63.24,16.43,82.7,150861,0.028571429,Low
Kigali,Nyarugenge,Kigali,GS Ruheru,2015,2.19,20.44,11.32,76.89,12.33,95.85,315048,0.028571429,Medium
Kigali,Nyarugenge,Gitega,GS Rwamagana,2016,18.78,9.67,14.22,97.06,13.22,85.01,518899,0.028571429,Medium
Kigali,Nyarugenge,Rwezamenyo,Mater Dei,2017,17.04,18.33,17.68,81.62,1.21,61.63,353627,0.028571429,Medium
Kigali,Nyarugenge,Gitega,GS Gitega,2018,8.17,5.63,6.9,77.27,17.44,99.03,545795,0.028571429,Low
Kigali,Nyarugenge,Rwezamenyo,GS Nyacyina,2019,13.58,2.27,7.92,54.56,19.5,86.13,268484,0.028571429,Low
Kigali,Nyarugenge,Mageragere,King David,2020,19.86,6.79,13.32,68.81,9.25,61.23,591872,0.028571429,Medium
Kigali,Nyarugenge,Mageragere,GS Cyahafi,2021,26.18,22.09,24.13,79.2,10.1,73.84,388107,0.028571429,Medium
Kigali,Nyarugenge,Nyamirambo,GS Buye,2022,16.76,15.91,16.33,65.44,11.95,75.82,570755,0.028571429,Medium
Kigali,Nyarugenge,Nyamirambo,Mater Dei,2023,24,20,22,81.9,12.63,74.37,349474,0.028571429,Medium
Kigali,Nyarugenge,Nyakabanda,GS Cyahafi,2024,22.26,4.82,13.54,90.62,3.62,67.19,297133,0.028571429,Medium
Kigali,Nyarugenge,Nyamirambo,GS Nyacyina,2010,3.82,12.75,8.29,79.31,13.04,86.5,300422,0.016949153,Low
Kigali,Nyarugenge,Muhima,GS Mubuga,2011,10.05,12.57,11.31,71.68,7.93,83.54,448619,0.016949153,Medium
Kigali,Nyarugenge,Kimisagara,GS Rwanyanza,2012,7.87,7.81,7.84,83.14,8.62,73.24,302332,0.016949153,Low
Kigali,Nyarugenge,Kigali,GS Nyacyina,2013,8.21,18.9,13.55,71.85,7.13,66.7,316184,0.016949153,Medium
Kigali,Nyarugenge,Kanyinya,GS Ruramira,2014,16.47,23.67,20.07,78.79,5.39,94.57,249381,0.016949153,Medium
Kigali,Nyarugenge,Kigali,GS Kimironko II,2015,2.66,16.4,9.53,74.4,18.68,64.88,317285,0.016949153,Low
Kigali,Nyarugenge,Gitega,GS Ruheru,2016,10.17,15.71,12.94,54.75,6.46,99.47,232311,0.016949153,Medium
Kigali,Nyarugenge,Nyakabanda,GS Akumunigo,2017,29.22,17.82,23.52,69.4,2.51,73.71,179141,0.016949153,Medium
Kigali,Nyarugenge,Mageragere,GS Akumunigo,2018,4.85,5.16,5.01,91.82,13.45,66.5,223008,0.016949153,Low
Kigali,Nyarugenge,Nyarugenge,Marie Merci,2019,13.87,26.18,20.02,71.74,4.88,93.52,246649,0.016949153,Medium
Kigali,Nyarugenge,Mageragere,GS Mubuga,2020,25.1,26.07,25.58,72.04,12.01,91.82,523875,0.016949153,High
Kigali,Nyarugenge,Nyakabanda,Marie Merci,2021,28.29,24.98,26.63,81.1,12.1,73.94,562785,0.016949153,High
Kigali,Nyarugenge,Kimisagara,GS Nyacyina,2022,10.23,26.13,18.18,93.64,2.18,63.62,578366,0.016949153,Medium
Kigali,Nyarugenge,Gitega,GS Gahanga I,2023,19.86,23.19,21.53,84.1,6.34,96.06,458796,0.016949153,Medium
Kigali,Nyarugenge,Nyarugenge,GS Kinteko,2024,26.2,11.89,19.05,73.65,11.27,73.14,451296,0.016949153,Medium
Kigali,Nyarugenge,Nyarugenge,GS Nyacyina,2010,7.89,11.82,9.86,57.51,9.27,84.14,553449,0.033333333,Low
Kigali,Nyarugenge,Muhima,GS Nyacyina,2011,12.01,26.04,19.03,74.96,7.6,61.03,363321,0.033333333,Medium
Kigali,Nyarugenge,Gitega,New Vision,2012,12.57,17.82,15.2,78.54,14.31,90.6,312781,0.033333333,Medium
Kigali,Nyarugenge,Gitega,GS Migongo,2013,16.12,24.85,20.48,83.19,13.09,62.85,401454,0.033333333,Medium
Kigali,Nyarugenge,Nyamirambo,GS Gitega,2014,12.02,6.72,9.37,66.84,5.7,66.65,281187,0.033333333,Low
Kigali,Nyarugenge,Mageragere,GS Nyacyina,2015,9.91,24.29,17.1,71.26,5.45,84.41,470321,0.033333333,Medium
Kigali,Nyarugenge,Kanyinya,GS Cyahafi,2016,12.99,4.53,8.76,71.56,5.91,67.26,172588,0.033333333,Low
Kigali,Nyarugenge,Rwezamenyo,GS Mubuga,2017,24.01,6.37,15.19,83.56,7.47,63.48,421333,0.033333333,Medium
Kigali,Nyarugenge,Mageragere,GS Rukomo,2018,16.27,4.26,10.26,66.01,15.87,80.61,240507,0.033333333,Medium
Kigali,Nyarugenge,Mageragere,GS Rutongo,2019,19.75,6.07,12.91,81.67,6.04,90.8,332601,0.033333333,Medium
Kigali,Nyarugenge,Kimisagara,GS Migongo,2020,22.23,25.68,23.96,87.02,8.48,90.67,296553,0.033333333,Medium
Kigali,Nyarugenge,Muhima,GS Buye,2021,5.44,7.82,6.63,83.55,12.84,81.41,534837,0.033333333,Low
Kigali,Nyarugenge,Rwezamenyo,GS Kimironko II,2022,18.61,16.85,17.73,65.57,19.76,83.78,369565,0.033333333,Medium
Kigali,Nyarugenge,Gitega,GS Ruheru,2023,4.96,21.16,13.06,70.81,6.82,88.7,329104,0.033333333,Medium
Kigali,Nyarugenge,Muhima,GS Mubuga,2024,24.74,18.49,21.62,81.07,12.91,90.9,112323,0.033333333,Medium
Kigali,Nyarugenge,Gitega,King David,2010,7.57,11.29,9.43,64.71,5.42,62.7,372900,0.033333333,Low
